Column1,Column2,Column1,Column2
PiuraChilensis_v1_contig_1,0.427621,,
PiuraChilensis_v1_contig_10,0.817866,,
PiuraChilensis_v1_contig_100,0.914473,PiuraChilensis_v1_contig_100,death
PiuraChilensis_v1_contig_100,0.914473,PiuraChilensis_v1_contig_100,other biological processes
PiuraChilensis_v1_contig_100,0.914473,PiuraChilensis_v1_contig_100,signal transduction
PiuraChilensis_v1_contig_100,0.914473,PiuraChilensis_v1_contig_100,stress response
PiuraChilensis_v1_contig_100,0.914473,PiuraChilensis_v1_contig_100,transport
PiuraChilensis_v1_contig_1000,0.792597,PiuraChilensis_v1_contig_1000,other biological processes
PiuraChilensis_v1_contig_1000,0.792597,PiuraChilensis_v1_contig_1000,other metabolic processes
PiuraChilensis_v1_contig_10000,0.947282,,
PiuraChilensis_v1_contig_10001,0.691634,,
PiuraChilensis_v1_contig_10002,0.936689,,
PiuraChilensis_v1_contig_10003,0.371111,PiuraChilensis_v1_contig_10003,RNA metabolism
PiuraChilensis_v1_contig_10003,0.371111,PiuraChilensis_v1_contig_10003,other biological processes
PiuraChilensis_v1_contig_10003,0.371111,PiuraChilensis_v1_contig_10003,protein metabolism
PiuraChilensis_v1_contig_10004,0.89432,PiuraChilensis_v1_contig_10004,other metabolic processes
PiuraChilensis_v1_contig_10005,0.873687,,
PiuraChilensis_v1_contig_10006,0.701088,PiuraChilensis_v1_contig_10006,RNA metabolism
PiuraChilensis_v1_contig_10007,0.799701,PiuraChilensis_v1_contig_10007,cell cycle and proliferation
PiuraChilensis_v1_contig_10007,0.799701,PiuraChilensis_v1_contig_10007,cell organization and biogenesis
PiuraChilensis_v1_contig_10007,0.799701,PiuraChilensis_v1_contig_10007,other biological processes
PiuraChilensis_v1_contig_10007,0.799701,PiuraChilensis_v1_contig_10007,stress response
PiuraChilensis_v1_contig_10008,0.656072,PiuraChilensis_v1_contig_10008,RNA metabolism
PiuraChilensis_v1_contig_10009,0.716323,,
PiuraChilensis_v1_contig_1001,0.920809,,
PiuraChilensis_v1_contig_10010,1.00146,PiuraChilensis_v1_contig_10010,developmental processes
PiuraChilensis_v1_contig_10010,1.00146,PiuraChilensis_v1_contig_10010,other metabolic processes
PiuraChilensis_v1_contig_10010,1.00146,PiuraChilensis_v1_contig_10010,transport
PiuraChilensis_v1_contig_10011,0.736964,PiuraChilensis_v1_contig_10011,cell organization and biogenesis
PiuraChilensis_v1_contig_10012,0.784672,PiuraChilensis_v1_contig_10012,cell organization and biogenesis
PiuraChilensis_v1_contig_10012,0.784672,PiuraChilensis_v1_contig_10012,developmental processes
PiuraChilensis_v1_contig_10012,0.784672,PiuraChilensis_v1_contig_10012,other biological processes
PiuraChilensis_v1_contig_10012,0.784672,PiuraChilensis_v1_contig_10012,other metabolic processes
PiuraChilensis_v1_contig_10012,0.784672,PiuraChilensis_v1_contig_10012,protein metabolism
PiuraChilensis_v1_contig_10013,0.931527,PiuraChilensis_v1_contig_10013,RNA metabolism
PiuraChilensis_v1_contig_10014,0.712588,,
PiuraChilensis_v1_contig_10015,0.947993,PiuraChilensis_v1_contig_10015,other metabolic processes
PiuraChilensis_v1_contig_10015,0.947993,PiuraChilensis_v1_contig_10015,transport
PiuraChilensis_v1_contig_10016,0.852142,PiuraChilensis_v1_contig_10016,transport
PiuraChilensis_v1_contig_10017,0.666696,,
PiuraChilensis_v1_contig_10018,0.793301,PiuraChilensis_v1_contig_10018,other biological processes
PiuraChilensis_v1_contig_10019,0.414585,,
PiuraChilensis_v1_contig_1002,1.05535,,
PiuraChilensis_v1_contig_10020,0.900526,PiuraChilensis_v1_contig_10020,developmental processes
PiuraChilensis_v1_contig_10020,0.900526,PiuraChilensis_v1_contig_10020,other biological processes
PiuraChilensis_v1_contig_10020,0.900526,PiuraChilensis_v1_contig_10020,other metabolic processes
PiuraChilensis_v1_contig_10020,0.900526,PiuraChilensis_v1_contig_10020,stress response
PiuraChilensis_v1_contig_10021,0.617455,PiuraChilensis_v1_contig_10021,other biological processes
PiuraChilensis_v1_contig_10021,0.617455,PiuraChilensis_v1_contig_10021,other metabolic processes
PiuraChilensis_v1_contig_10022,0.637087,,
PiuraChilensis_v1_contig_10023,0.520687,,
PiuraChilensis_v1_contig_10024,0.715634,,
PiuraChilensis_v1_contig_10025,0.576421,,
PiuraChilensis_v1_contig_10026,0.856107,,
PiuraChilensis_v1_contig_10027,0.784308,PiuraChilensis_v1_contig_10027,cell organization and biogenesis
PiuraChilensis_v1_contig_10027,0.784308,PiuraChilensis_v1_contig_10027,other metabolic processes
PiuraChilensis_v1_contig_10027,0.784308,PiuraChilensis_v1_contig_10027,protein metabolism
PiuraChilensis_v1_contig_10027,0.784308,PiuraChilensis_v1_contig_10027,signal transduction
PiuraChilensis_v1_contig_10027,0.784308,PiuraChilensis_v1_contig_10027,stress response
PiuraChilensis_v1_contig_10028,0.477141,PiuraChilensis_v1_contig_10028,RNA metabolism
PiuraChilensis_v1_contig_10028,0.477141,PiuraChilensis_v1_contig_10028,cell organization and biogenesis
PiuraChilensis_v1_contig_10028,0.477141,PiuraChilensis_v1_contig_10028,other metabolic processes
PiuraChilensis_v1_contig_10028,0.477141,PiuraChilensis_v1_contig_10028,protein metabolism
PiuraChilensis_v1_contig_10029,0.626376,,
PiuraChilensis_v1_contig_1003,0.984061,PiuraChilensis_v1_contig_1003,cell adhesion
PiuraChilensis_v1_contig_10030,1.0369,,
PiuraChilensis_v1_contig_10031,0.945873,PiuraChilensis_v1_contig_10031,cell organization and biogenesis
PiuraChilensis_v1_contig_10031,0.945873,PiuraChilensis_v1_contig_10031,other biological processes
PiuraChilensis_v1_contig_10031,0.945873,PiuraChilensis_v1_contig_10031,protein metabolism
PiuraChilensis_v1_contig_10031,0.945873,PiuraChilensis_v1_contig_10031,transport
PiuraChilensis_v1_contig_10032,0.84075,,
PiuraChilensis_v1_contig_10033,1.12231,PiuraChilensis_v1_contig_10033,RNA metabolism
PiuraChilensis_v1_contig_10033,1.12231,PiuraChilensis_v1_contig_10033,cell adhesion
PiuraChilensis_v1_contig_10033,1.12231,PiuraChilensis_v1_contig_10033,cell cycle and proliferation
PiuraChilensis_v1_contig_10033,1.12231,PiuraChilensis_v1_contig_10033,death
PiuraChilensis_v1_contig_10033,1.12231,PiuraChilensis_v1_contig_10033,developmental processes
PiuraChilensis_v1_contig_10033,1.12231,PiuraChilensis_v1_contig_10033,other biological processes
PiuraChilensis_v1_contig_10033,1.12231,PiuraChilensis_v1_contig_10033,other metabolic processes
PiuraChilensis_v1_contig_10033,1.12231,PiuraChilensis_v1_contig_10033,signal transduction
PiuraChilensis_v1_contig_10033,1.12231,PiuraChilensis_v1_contig_10033,stress response
PiuraChilensis_v1_contig_10033,1.12231,PiuraChilensis_v1_contig_10033,transport
PiuraChilensis_v1_contig_10034,0.295108,,
PiuraChilensis_v1_contig_10035,0.571551,PiuraChilensis_v1_contig_10035,cell cycle and proliferation
PiuraChilensis_v1_contig_10036,0.535246,,
PiuraChilensis_v1_contig_10037,1.09231,,
PiuraChilensis_v1_contig_10038,0.602088,,
PiuraChilensis_v1_contig_10039,0.81428,,
PiuraChilensis_v1_contig_1004,0.751892,PiuraChilensis_v1_contig_1004,death
PiuraChilensis_v1_contig_1004,0.751892,PiuraChilensis_v1_contig_1004,signal transduction
PiuraChilensis_v1_contig_10040,0.507971,PiuraChilensis_v1_contig_10040,other biological processes
PiuraChilensis_v1_contig_10040,0.507971,PiuraChilensis_v1_contig_10040,transport
PiuraChilensis_v1_contig_10041,0.983473,,
PiuraChilensis_v1_contig_10042,0.798592,PiuraChilensis_v1_contig_10042,other biological processes
PiuraChilensis_v1_contig_10042,0.798592,PiuraChilensis_v1_contig_10042,other metabolic processes
PiuraChilensis_v1_contig_10042,0.798592,PiuraChilensis_v1_contig_10042,signal transduction
PiuraChilensis_v1_contig_10043,1.26758,PiuraChilensis_v1_contig_10043,RNA metabolism
PiuraChilensis_v1_contig_10044,1.11176,,
