Column1,GOSlim_bin
PiuraChilensis_v1_contig_7798,protein metabolism
PiuraChilensis_v1_contig_3751,other metabolic processes
PiuraChilensis_v1_contig_11851,other metabolic processes
PiuraChilensis_v1_contig_12118,protein metabolism
PiuraChilensis_v1_contig_12118,transport
PiuraChilensis_v1_contig_12118,cell organization and biogenesis
PiuraChilensis_v1_contig_12118,signal transduction
PiuraChilensis_v1_contig_12118,developmental processes
PiuraChilensis_v1_contig_3855,developmental processes
PiuraChilensis_v1_contig_3855,RNA metabolism
PiuraChilensis_v1_contig_3855,death
PiuraChilensis_v1_contig_6981,other biological processes
PiuraChilensis_v1_contig_927,transport
PiuraChilensis_v1_contig_927,other biological processes
PiuraChilensis_v1_contig_11530,protein metabolism
PiuraChilensis_v1_contig_11530,RNA metabolism
PiuraChilensis_v1_contig_9905,protein metabolism
PiuraChilensis_v1_contig_9905,cell organization and biogenesis
PiuraChilensis_v1_contig_9905,signal transduction
PiuraChilensis_v1_contig_9905,other biological processes
PiuraChilensis_v1_contig_9905,developmental processes
PiuraChilensis_v1_contig_506,RNA metabolism
PiuraChilensis_v1_contig_7804,RNA metabolism
PiuraChilensis_v1_contig_506,protein metabolism
PiuraChilensis_v1_contig_7804,protein metabolism
PiuraChilensis_v1_contig_506,cell organization and biogenesis
PiuraChilensis_v1_contig_7804,cell organization and biogenesis
PiuraChilensis_v1_contig_5773,protein metabolism
PiuraChilensis_v1_contig_5773,other metabolic processes
PiuraChilensis_v1_contig_6848,RNA metabolism
PiuraChilensis_v1_contig_6848,cell organization and biogenesis
PiuraChilensis_v1_contig_6848,death
PiuraChilensis_v1_contig_9214,RNA metabolism
PiuraChilensis_v1_contig_7165,stress response
PiuraChilensis_v1_contig_7165,DNA metabolism
PiuraChilensis_v1_contig_7165,RNA metabolism
PiuraChilensis_v1_contig_14714,RNA metabolism
PiuraChilensis_v1_contig_1879,other metabolic processes
PiuraChilensis_v1_contig_8134,RNA metabolism
PiuraChilensis_v1_contig_5355,cell adhesion
PiuraChilensis_v1_contig_13254,other metabolic processes
PiuraChilensis_v1_contig_8333,other metabolic processes
PiuraChilensis_v1_contig_4754,developmental processes
PiuraChilensis_v1_contig_4754,stress response
PiuraChilensis_v1_contig_4754,DNA metabolism
PiuraChilensis_v1_contig_4754,death
PiuraChilensis_v1_contig_4754,other biological processes
PiuraChilensis_v1_contig_3351,other biological processes
PiuraChilensis_v1_contig_9583,transport
PiuraChilensis_v1_contig_9583,other metabolic processes
PiuraChilensis_v1_contig_2483,RNA metabolism
PiuraChilensis_v1_contig_14232,transport
PiuraChilensis_v1_contig_7942,cell cycle and proliferation
PiuraChilensis_v1_contig_7942,cell organization and biogenesis
PiuraChilensis_v1_contig_7942,other biological processes
PiuraChilensis_v1_contig_13851,RNA metabolism
PiuraChilensis_v1_contig_11654,cell adhesion
PiuraChilensis_v1_contig_470,signal transduction
PiuraChilensis_v1_contig_7542,other metabolic processes
PiuraChilensis_v1_contig_7542,RNA metabolism
PiuraChilensis_v1_contig_7542,signal transduction
PiuraChilensis_v1_contig_5843,protein metabolism
PiuraChilensis_v1_contig_2696,RNA metabolism
PiuraChilensis_v1_contig_2696,protein metabolism
PiuraChilensis_v1_contig_5867,developmental processes
PiuraChilensis_v1_contig_5867,cell cycle and proliferation
PiuraChilensis_v1_contig_5867,cell organization and biogenesis
PiuraChilensis_v1_contig_5867,signal transduction
PiuraChilensis_v1_contig_5867,protein metabolism
PiuraChilensis_v1_contig_11899,transport
PiuraChilensis_v1_contig_11899,cell organization and biogenesis
PiuraChilensis_v1_contig_11899,signal transduction
PiuraChilensis_v1_contig_6268,other biological processes
PiuraChilensis_v1_contig_1010,other metabolic processes
PiuraChilensis_v1_contig_9403,cell cycle and proliferation
PiuraChilensis_v1_contig_9403,cell organization and biogenesis
PiuraChilensis_v1_contig_9403,other biological processes
PiuraChilensis_v1_contig_7906,other biological processes
PiuraChilensis_v1_contig_1339,protein metabolism
PiuraChilensis_v1_contig_8335,transport
PiuraChilensis_v1_contig_4544,stress response
